Nr,Amt,Bemerkungen
564,"Schlosshauptmann im Belvedere",
457,"Hofzahlmeister",
594,"Adel. Arcieren Chirurg",
585,"Adel. Arcieren Hauptmann",
596,"Adel. Arcieren Kaplan",
588,"Adel. Arcieren Premier Wachtm.",
592,"Adel. Arcieren Rechnungsführer",
589,"Adel. Arcieren Second Wachtm.",
550,"Hofkontrollor Amtsdiener",
554,"Hofkontrollor Amtsgegenschreiber",
478,"Hofkontrollor Schreiber",
60,"Tanzmeister",
508,"Anges. Oberstkämmerer",
559,"djh Tanzmeister",
309,"Mund- und Hofbäcker",
645,"Zimmerwärter im Belvedere",
643,"Zimmerwärter in der Augustinerbastei",
407,"Zimmerwärter in der Favorita",
642,"Zimmerwärter in Hetzendorf",
89,"Zimmerwärter in Laxenburg",
646,"Zimmerwärter am Rennweg",
576,"Zimmerwärter in Schönbrunn",
649,"Zimmerwärter Adjunkt in Schönbrunn",
644,"Zimmerwärter in St. Veit",
124,"Hofzahlamtskontrollor",
58,"Böhmischer Herold",
59,"Österreichischer Herold",
57,"Ungarischer Herold",
610,"djh Sprachmeister",
522,"djh Historienmeister",
310,"Edelknaben Fechtmeister",
528,"Arcieren Unter L.",
144,"Hofprofos Lieutenant",
534,"Schweizergarde Ober L.",
532,"Schweizergarde Unter L.",
937,"Zahlmeister der Avitical-, Familien und großherz. Kassen",
342,"KristallschneiderIn",
